2021-09-14 15:30:13.352 [pool-2-thread-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:30:13.352 [pool-2-thread-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:30:13.352 [pool-2-thread-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:30:43.363 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:30:43.363 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:30:43.378 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:30:43.378 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:30:48.379 [pool-2-thread-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:30:48.379 [pool-2-thread-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:30:48.379 [pool-2-thread-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:31:18.388 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:31:18.388 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:31:18.388 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:31:18.388 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:31:23.405 [pool-2-thread-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:31:23.405 [pool-2-thread-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:31:23.405 [pool-2-thread-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:31:46.590 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
